cu,bs,ru,lt,cnl,mp,bl,bt,ram,rm,jit,dly,bw,mos
22,0,68.977673,5,0,0.76,52,0,851,2,5.78,154.524,999,Excellent
9,9,72.855464,34,1,5.5,68,19.135,851,2,38.398,165.844,234,Poor
10,5,72.150411,34,1,5,76,14.26,851,2,35.059,127.6,199,Bad
12,0,68.155112,5,0,0.059,78,0,851,2,18.03,170.58,1076,Excellent
17,6,69.524369,30,0,5.3,69,14.713,1703,2,19.068,167.242,359,Poor
22,4,72.502938,7,0,0.58,53,4.252,851,2,9.236,122.8,716,VeryGood
10,2,67.450059,12,0,0.12,98,4.996,851,2,33.43,161.393,980,VeryGood
15,11,70.622797,11,0,0.19,60,6.185,851,2,82.822,163.87,711,Good
12,11,76.615746,11,0,0.1,100,7.186,851,2,45.215,155.112,716,Good
10,0,87.900724,8,0,0.059,49,0,967,2,14.064,111.289,1130,Excellent
42,6,68.358209,10,0,0.61,67,11.537,335,1,3.23,148.757,716,Good
15,4,73.913043,28,1,5.5,55,14.339,851,2,28.188,261.422,69.4,Bad
10,0,71.32785,5,0,0.29,64,0,851,2,6.773,227.791,1002,Excellent
7,0,68.860165,5,0,0.29,70,0,851,2,16.968,110.802,969,Excellent
11,3,67.450059,8,0,0.58,97,4.335,851,2,22.59,161.17,716,VeryGood
11,1,88.107549,14,0,0.56,51,13.211,967,2,15.085,115.919,709,VeryGood
16,3,72.620447,5,0,0.66,61,11.668,851,2,16.08,110.236,691,VeryGood
16,5,70.622797,12,1,5.8,72,12.503,851,2,18.98,165.167,95.8,Bad
25,12,75.088132,10,0,0.24,71,6.004,851,2,16.503,130.127,719,Good
8,12,76.615746,11,0,0.59,65,5.503,851,2,14.245,228.358,693,Good
26,11,69.682726,40,1,6,62,25.107,851,2,18.954,234.789,173,Bad
10.4587,0,69.212691,5,0,0,55,0,851,2,4.888,169.339,1088,Excellent
13.2564,1,59.375,6,0,0.18,85,4.017,1856,3,29.713,167.426,1117,Excellent
21,0,68.069121,7,0,0.24,41,0,1331,2,4.395,155.979,1142,Excellent
12,2,75.088132,7,0,0.47,74,3.502,851,2,38.288,113.877,1128,VeryGood
