cu,ru,mp,bl,cc,lt,ram,rm,emo,scr,jit,cf,dly,bw,cnl,mos
10,89.141675,6.6,48,4,24,967,2,1,1,31.644,1508,188.604,271,1,Poor
10,67.450059,0.12,98,4,26,851,2,3,1,33.43,1190,161.393,980,0,Excellent
6,72.620447,0.66,61,4,53,851,2,1,1,16.08,1190,110.236,691,0,Good
2,75.088132,0.47,74,4,26,851,2,3,1,38.288,1190,113.877,1128,0,Excellent
5,76.615746,0.1,100,4,43,851,2,3,1,45.215,1190,155.112,716,0,Good
14,84.216867,0.24,52,4,48,830,2,2,1,34.351,1400,170.84,906,0,VeryGood
37,69.524369,5.3,69,4,36,1703,2,1,1,19.068,2150,167.242,359,1,Good
14,79.638554,3.6,55,4,78,830,2,4,1,29.917,1400,217.366,233,0,Poor
12,68.155112,0.059,78,4,29,851,2,3,1,18.03,1190,170.58,1076,0,VeryGood
20,68.069121,0.24,41,2,25,1331,2,1,8,4.395,1728,155.979,1142,0,Excellent
25,75.088132,0.24,71,4,49,851,2,1,1,16.503,1190,130.127,719,0,Good
11.253,72.855464,5.5,68,4,92,851,2,3,1,38.398,1190,165.844,234,0,Poor
25,85.542169,6.2,49,4,56,830,2,3,1,24.609,1400,112.802,303,0,Poor
10.563,59.375,0.18,85,4,28,1856,3,1,3,29.713,2265,167.426,1117,0,Excellent
9.5236,61.907328,4.6,82,4,40,1856,3,3,3,15.145,2265,176.849,186,1,Poor
75,70.924117,0.58,38,2,40,1331,2,1,8,4.324,1728,155.189,715,0,Good
9,83.253012,0.58,53,4,48,830,2,1,1,41.793,1400,156.159,717,0,Good
10,71.32785,2.9,64,4,34,851,2,3,1,6.773,1190,227.791,1002,0,VeryGood
16,70.622797,5.8,72,4,95,851,2,1,1,18.98,1190,165.167,95.8,1,Bad
20,72.150411,5,76,4,82,851,2,3,1,35.059,1190,127.6,199,1,Bad
7,68.860165,2.9,70,4,30,851,2,3,1,16.968,1190,110.802,969,0,VeryGood
26,69.682726,6,62,4,115,851,2,3,1,18.954,1190,234.789,173,1,Bad
2,70.746269,0,36,1,25,335,1,3,7,4.264,1024,164.385,1124,0,VeryGood
12,59.806034,0.76,73,4,30,1856,3,1,3,36.159,2265,146.348,796,0,VeryGood
25,72.575431,2.4,86,4,22,1856,3,3,3,15.213,2265,118.1,678,0,VeryGood
24,84.213362,0.55,79,4,74,1856,3,3,3,18.881,2265,274.519,666,1,Good
29,81.411638,0.56,82,4,33,1856,3,3,3,16.567,2265,270.821,967,0,VeryGood
90,88.270677,1.6,74,1,64,665,1,1,5,37.358,1008,269.001,523,1,Poor
15,74.148061,5.5,79,4,50,851,2,2,1,13.26,1190,144.702,644,1,Good
5,77.20329,2.9,75,4,34,851,2,2,1,5.603,1190,160.62,1039,0,VeryGood
16,75.675676,5.1,77,4,38,851,2,2,1,5.575,1190,110.905,667,1,Good
5,69.257951,0.51,63,4,29,849,2,3,1,8.2,1190,115.888,1145,0,Excellent
11.3665,70.204741,6,91,4,45,1856,3,3,3,10.137,2265,175.948,511,1,Poor
81,75,5.5,81,1,62,408,1,1,5,31.13,1008,291.909,78,1,Bad
5,63.978202,0.62,91,4,39,1835,3,3,2,4.539,1512,267.852,676,1,Good
5,71.142521,0.56,64,4,56,849,2,3,1,3.376,1190,110.794,718,0,Good
46,80.34188,3,43,2,62,468,1,3,6,32.353,1300,173.764,531,1,Good
48,75.735294,2.2,79,1,25,408,1,1,5,14.33,1008,232.166,1105,0,Excellent
5,62.016349,4.8,97,4,68,1835,3,3,2,21.476,1512,281.716,170,0,Poor
32,69.196093,0,33,2,25,1331,2,1,8,4.462,1728,210.993,1037,0,Excellent
8.2536,85.237069,2.8,84,4,68,1856,3,2,3,30.777,2265,309.94,386,1,Poor
89,81.954887,4.9,83,1,73,665,1,1,5,33.086,1008,215.166,335,1,Poor
31,74.148061,5.3,73,4,35,851,2,2,1,3.664,1190,162.806,715,0,Good
12,84.321121,2.4,77,4,27,1856,3,3,3,10.543,2265,272.231,1037,0,Excellent
76,70.323065,4.9,36,2,50,1331,2,1,8,19.793,1728,207.244,179,1,Bad
80,84.06015,5.8,72,1,64,665,1,1,5,39.009,1008,254.544,112,1,Bad
13,70.689655,5.2,93,4,57,1856,3,1,3,2.46,2265,252.22,380,0,Good
40,84.661654,0.68,76,1,26,665,1,1,5,29.158,1008,246.928,1088,0,Excellent
45,66.176471,1.8,86,1,29,408,1,1,5,4.535,1008,175.311,1145,0,Excellent
15.24,67.672414,2.8,96,4,37,1856,3,3,3,3.979,2265,243.49,693,0,VeryGood
17.523,83.459052,2.4,66,4,28,1856,3,1,3,6.938,2265,117.461,1134,0,Excellent
69,73.77451,0.58,79,1,40,408,1,1,5,3.075,1008,254.062,715,0,VeryGood
22,84.913793,3.1,30,4,62,1856,3,1,3,16.731,2265,191.075,554,1,Good
15,71.713362,4.8,88,4,72,1856,3,3,3,6.236,2265,233.345,381,1,Poor
5,69.682726,3.1,94,4,25,851,2,1,1,6.494,1190,166.346,825,0,VeryGood
37,84.357542,2.9,72,2,25,716,2,1,6,34.591,1200,105.703,710,0,VeryGood
15,84.375,3,19,8,46,1856,3,3,3,3.751,1300,118.992,348,1,Good
23,72.855464,3.4,50,4,30,851,2,1,1,39.891,1190,119.09,757,0,VeryGood
10,75.675676,2,49,4,42,851,2,1,1,3.203,1190,167.001,806,0,VeryGood
12,75.107759,0.059,56,4,43,1856,3,1,3,18.06,2265,265.09,794,0,VeryGood
15,86.260776,5.8,43,4,40,1856,3,4,3,14.264,2265,267.759,704,0,VeryGood
10,57.438692,2.61,47,4,41,1835,3,1,2,38.569,1512,182.154,590,0,Good
18,58.038147,2.4,44,4,23,1835,3,3,2,3.244,1512,236.294,498,1,Good
13,74.500588,5.3,47,4,61,851,2,1,1,2.037,1190,121.834,435,0,Good
22,84.859914,3,18,8,122,1856,3,1,3,31.005,1300,153.678,51.8,1,Bad
45,78.855721,2.8,86,2,57,804,2,1,6,17.569,1000,252.407,482,1,Good
